constructorId,constructorName
1,RBR Renault
2,McLaren Mercedes
3,Ferrari
4,Mercedes
5,Renault
6,Williams Cosworth
7,Force India Mercedes
8,Sauber Ferrari
9,STR Ferrari
10,Lotus Cosworth
11,HRT Cosworth
12,Virgin Cosworth
13,Red Bull Racing Renault
14,Lotus Renault
15,Williams Renault
16,Caterham Renault
17,Marussia Cosworth
18,Williams Mercedes
19,STR Renault
20,Marussia Ferrari
21,Lotus Mercedes
22,McLaren Honda
23,Red Bull Racing Tag Heuer
24,Toro Rosso Ferrari
25,Haas Ferrari
26,MRT Mercedes
27,Toro Rosso
28,Scuderia Toro Rosso Honda
29,Force India Sahara
30,McLaren Renault
31,Racing Point BWT Mercedes
32,Alfa Romeo Racing Ferrari
33,Red Bull Racing Honda
34,AlphaTauri Honda
35,Alpine Renault
36,Aston Martin Mercedes
37,Red Bull Racing RBPT
38,Aston Martin Aramco Mercedes
39,AlphaTauri RBPT
40,Alfa Romeo Ferrari
